Job,Workcenter,Hours Remaining,Due date
204446,INSPECT,0.1,5/6/2024
204564,INSPECT,0.1,4/16/2024
204730,INSPECT,0.1,4/24/2024
204768,INSPECT,0.1,5/13/2024
204830,INSPECT,0.1,4/23/2024
204833,INSPECT,0.1,4/16/2024
204843,INSPECT,0.1,5/15/2024
204843,INSPECT,0.1,5/17/2024
204861,INSPECT,0.1,4/18/2024
204866,INSPECT,0.1,4/29/2024
204875,INSPECT,0.1,4/19/2024
204924,INSPECT,0.1,4/24/2024
202894-27G,INSPECT,0.1,12/27/2023
203638-17,INSPECT,0.1,4/23/2024
203638-25,INSPECT,0.1,4/17/2024
203638-26,INSPECT,0.1,4/17/2024
204424-01C,INSPECT,0.1,3/26/2024
204424-01G,INSPECT,0.1,3/26/2024
204441-04P,INSPECT,0.1,4/18/2024
204441-08B,INSPECT,0.1,-
204673-13,INSPECT,0.1,4/16/2024
204674-12,INSPECT,0.1,4/16/2024
204749-13,INSPECT,0.1,4/30/2024
204765-01A,INSPECT,0.1,4/15/2024
204765-01B,INSPECT,0.1,4/18/2024
204765-01C,INSPECT,0.1,4/16/2024
204765-03,INSPECT,0.1,4/26/2024
204765-04,INSPECT,0.1,4/29/2024
204859-12,INSPECT,0.1,5/8/2024
204883-03,INSPECT,0.1,5/20/2024
204922-04,INSPECT,0.1,4/22/2024
204926-01,INSPECT,0.1,4/23/2024
204834,INSPECT,0.08,4/17/2024
204903,INSPECT,0.08,4/22/2024
204904,INSPECT,0.08,4/22/2024
204923,INSPECT,0.08,4/24/2024
204925,INSPECT,0.08,4/24/2024
204441-01,INSPECT,0.08,4/25/2024
204441-01A,INSPECT,0.08,4/23/2024
204441-05C,INSPECT,0.08,4/19/2024
204441-06,INSPECT,0.08,4/23/2024
204441-04W,INSPECT,0.07,4/18/2024
204441-08,INSPECT,0.07,-
204559,INSPECT,0.05,4/25/2024
204677,INSPECT,0.05,4/10/2024
204868,INSPECT,0.05,4/23/2024
204928,INSPECT,0.05,4/24/2024
201949-27A,INSPECT,0.05,11/3/2023
202894-23,INSPECT,0.05,4/9/2024
202894-27H,INSPECT,0.05,12/27/2023
203638-19,INSPECT,0.05,4/23/2024
203638-35,INSPECT,0.05,4/23/2024
203638-36,INSPECT,0.05,4/23/2024
